,page,part,speaker,speech,year
10,46,1,Mr. FOLEY.," Mr. Speaker,  I  ask  unanimous consent that the business  in order under the Calendar Wednes day rule be dispensed with on Wednes day next.  ",1988
11,46,1,The  SPEAKER  pro  tempore.,"  Is  there objection to the request of the  gentleman from Washington?  There was no objection.  ADJOURNMENT TO WEDNESDAY,  JANUARY 27, 1988  ",1988
12,46,1,Mr. FOLEY.," Mr. Speaker,  I  ask  unanimous  consent  that when  the  House adjourns  today  it adjourn  to  meet on Wednesday, January 27, 1988.  ",1988
13,46,1,The  SPEAKER  pro  tempore.,  Is  there objection to the request of the  gentleman from Washington?  There was no objection.  APPOINTMENT AS MEMBERS TO  NATIONAL ECONOMIC COMMIS SION  ,1988
14,46,1,The SPEAKER pro  tempore.," The  Chair desires to announce that pursu ant to the provisions of section 2101,  Public Law 100-203, and the order of  the House of December 21, 1987, the  Speaker appointed the following indi viduals on the part of the House to  the National Economic Commission on  January 11, 1988:  From the House of Representatives,  Mr. Gray of Pennsylvania; and  Mr. Felix Rohatyn of Washington,  DC; and  Mr. Robert Strauss of Dallas, TX.  ANNOUNCEMENT OF ADJOURN MENT TO 2 P.M., WEDNESDAY,  JANUARY 27, 1988  ",1988
15,46,1,Mr. FOLEY.," Mr. Speaker, I take this  time to make the announcement that  when the House adjourns today, it will  adjourn to meet at 2 p.m. on Wednes day, January 27, 1988.  The House will not be in session to morrow, January 26, 1988, out of re spect to the memory of our departed  Member, DAN DANIEL of Virginia.  D 1330  LEGISLATION TO CURE THE  BUDGET PROBLEMS  <Mr. GEKAS asked and was given  permission to address the House for 1  minute and to revise and extend his  remarks.)  ",1988
16,46,1,Mr. GEKAS.," Mr. Speaker,  I  am  going to introduce a bill today which  could go a long way to cure the budget  sickness  that overcomes  this House  every single year. It would call for if  the Congress should fail  to adopt a  budget by its deadline of September 30  that the next day automatically would  be  reenacted  the  previous  year's  budget. No more the continuing reso lutions of 30 days creating another  crisis within that 30 days, no more the  pressure  of  checks  that would  be  forced not to be delivered by the Gov ernment because of a  deadline not  met, no more the spectacle of a Presi dent of the United States forced  to  sign an unacceptable budget because  of the threat of a shutdown of the  Government  operations  throughout  the world, no more the crisis, never  ending,  that besets  the Congress of  the United States.  I  know  that one  thing militates  against passage of this bill, and that is  that it makes sense. But I hope that  we can overcome that illness of ours so  that  this country can be put on a  straight basis for a budget process.  CONTRA AID  <Mr. FAZIO asked and was given  permission to address the House for 1  minute and to revise and extend his  remarks.)  ",1988
17,46,1,Mr. FAZIO.," Mr. Speaker, President  Reagan will tonight make a last pitch  for more Contra aid in the name of  peace and democracy  in Nicaragua.  But does  this  administration  really  support the peace process? Didn't we  learn from the Iran-Contra affair that  this administration cannot be trusted  to keep its word in Central America?  As the Iran-Contra committees con cluded in their report:  The common ingredients of the Iran and  Contra policies were secrecy, deception, and  distain for the law. A small group of senior  officials believed that they alone knew what  was right. They viewed knowledge of their  actions by others in the Government as a  ",1988
18,72,1,Mr. LAGOMARSINO.," Mr. Speaker,  I rise to  bring to the attention of my colleagues the re tirement as president of the Greater Ventura  Chamber of Commerce of my constituent, Jim  Clark.  Jim has been a resident of Ventura since  1970 and a member of the Chamber of Com merce since 1979. Since  that  time he has  served as chairman of the Governmental Af fairs Committee and was elected a director in  1984,  vice  president  1985,  president-elect  1986 and president of 1987.  EXTENSIONS OF REMARKS  Jim's term as president was marked by a  30-percent  increase  in membership, making  the Ventura Chamber the largest in numbers  of business members  along  the California  coast between Los Angeles and San Francis co. Additionally he was responsible for estab lishing the award-winning ""Ventura Business""  as the Chamber's monthly newsletter, keeping  the members abreast of current and future ac tivities of  the organization. Revisions  to  the  city's  smoking  and  sign  ordinances were  achieved, mainly  through his efforts, and he  spearheaded efforts which led to the justifica tion  for a 4-year university  to be  located  in  Western Ventura County and selection of Ven tura as the first choice for a site on which to  build it.  Mr. Clark is a native of Ashland, OH and a  graduate of the U.S. Naval Academy. Shortly  after graduation he married Suzy also of Ash land. His Navy career included tours on carri ers, battleships, cruisers, and destroyers as  well as schooling at  the Naval Postgraduate  School in Monterey, giving him a postgraduate  degree. Duty in Washington, DC followed and  then he was assigned to duties at the Naval  Weapons Systems Engineering Station at Port  Hueneme, CA. While  there he headed  three  departments  and was  responsible  for  the  design, construction and  testing of a 95-foot  remote-controlled Anti-Ship Missile Defense  Test Boat which survived all  range weapons  threats and continues to this day to serve as  a drone launching vessel for the Pacific Mis sile Test Range. At his  retirement  from  the  Navy in 1976, he had served the third longest  tour of duty ever at Port Hueneme.  Mr. Clark embarked on a career  in  real  estate after his retirement from the Navy and  opened  his own office, Tugboat Realty  in  1981. He is a member of the Ventura Board  of Realtors and was a director from 1983 to  1985, serving as the board's secretary/treas urer in 1985. In addition, he was a director of  the California Association of Realtors in 198485 and continues to serve as a trustee of the  Ventura board's political action committee and  has been recognized nationally for his political  action involvement.  Yachting and boating activities take up most  of Jim's spare time. He  is a member of the  Ventura Yacht Club and served on its board of  directors  from 1982  to 1987 and was  the  club's  commodore  in  1985.  He  currently  serves on no less than seven regional, state wide, national and  international boating and  yachting organizations. He  is 1988 commo dore of  the Association of Santa Barbara  Channel Yacht Clubs, president of District 16  of the  International Order of the Blue Gavel  (the Past Commodore's Club). He is an officer  or member of numerous other boating organi zations and  in 1980 was awarded  the Yacht  Club and Ventura Port District's prestigious  Merril C. Allyn Award  for outstanding service  to  recreational boating. Other activities and  awards are simply too numerous to mention.  In 1987, Jim and Suzy returned to Ashland,  OH, where Samaritan Hospital awarded him  and his  family  its Award  for Excellence  in  Medical Care at its 75th anniversary celebra tion. The hospital was originally given  to  the  city by Clark's grandfather, J.L. Clark.  Jim's other  leisure activities  include  culture, gardening, and wine  tasting. He  rose  is a  January 25, 1988  member of  the Consumer Tasting Panel of  Mirassou Winery, one of California's oldest  family-owned wineries. He is also a judge and  life member of the International Chili Society.  He judges chili at country fairs and conducts  chili cookoffs and declares chili to be his and  America's favorite meal.  Please join me  in wishing Jim many more  years of his chosen activities and best wishes  to him and his lovely Suzy.  A CONGRESSIONAL SALUTE TO  D.C. STUDENTS  HON. WALTER E. FAUNTROY  OF THE DISTRICT OF COLUMBIA  IN THE HOUSE OF REPRESENTATIVES  Monday, January 25, 1988  ",1988
19,72,1,Mr. FAUNTROY.," Mr. Speaker, when the his tory of  the 20th century  is written, deeply  woven in its fabric will be the saga of how, in  the latter part of the 20th century, this Nation  ended  the  tyranny of  taxation without repre sentation for its last colony-the citizens of its  Nation's Capital.  That history will have  to  record  that 39  bright and committed young people from  the  District of Columbia  fashioned a magnificent  stride  toward  their own  freedom when  they  carried out a mission on behalf of all  the  people of the District of Columbia by traveling  to Atlanta, GA, for the third national celebra tion of the birthday of Dr. Martin Luther King,  Jr., to enlist people of conscience from across  the Nation in support of D.C. statehood.  These  students  included  representatives  from the University of the D.C. and the follow ing District of Columbia public schools-Louis  Charles Rabaut Junior High School, William H.  Taft Junior High School, Frank W. Ballou  Senior High School, Benjamin Banneker High  School, Calvin Coolidge Senior High School,  Theodore Roosevelt Senior High School,  the  Washington Dix Street Academy,  and  the  Washington, DC, School Without Walls,  in cluding participants from Mayor Barry's Youth  Leadership Institute. I thought you, Mr. Speak er, would  like  to know  the names of  these  young people  to whom posterity will owe a  debt of gratitude.  They are: Dennis Abrams, Darlene Allen,  Dwayne Bailey,  Lisa Brooks, Sheila Bunn,  Stanley  Burley,  Ricardo  Canales,  Danna  Carter, Carla Y. Cyrus, Carolyn Denr:iis, Sa breena Geddie, Baxter W. Greene, Michael V.  Harold, Karin  L. Harrison, Lee Hayden, Jr.,  Ronnelle Johnson, Kito D. Jones, Kwanza M.  Jones, Meta Jones, Jacqueline A. Maki.  Angela A. Manning, Lisa McCurdy, Hewlette  Pearson, Kathie Shoulders, Cynthia Smith, Pa tricia A. Smith, Wallace Southerland Ill, Furard  Tate, Tracey L. Taylor, Gary M. Thompson,  Cornell R.H. Twilley, Cheryl A.M. Waldron,  Kevin R. Waller, Stacye V. Whyte, Susan  Whyte, Clyde E. Williams  11,  LaToya Wood bury, Joseph T. Wyche, Charles H. Young.  ",1988
20,85,1,Mr. TRAFICANT.," Mr. Speaker, it is indeed a  pleasure  to pay tribute today to  the Chester  Newell Area Chamber of Commerce. I had the  privilege of addressing this organization and it  became clear to me then that special recogni tion was in order.  Residents of Chester, WV, are clearly  in  good governing hands as  this group of offi cials exemplify the epitome of loyalty, concern  and  understanding. Mayor Roy Cashdollar  though only in office for 18 months, has done  an excellent job, as have the board members.  The Chester Newell Chamber of Commerce  represents their constituents well and it is with  great pride that I pay tribute to them today.  EXTENSIONS OF REMARKS  A TRIBUTE TO COMMISSIONER  EDWARD J. MUHL  HON. BENJAMIN L. CARDIN  OF MARYLAND  IN THE HOUSE OF REPRESENTATIVES  Monday, January 25, 1988  Mr. CARDIN, Mr. Speaker,  I rise  today  to  pay  tribute  to Maryland's insurance commis sioner, Edward J. Muhl, who will be honored  for his years of outstanding public service at a  banquet in Baltimore on January 29.  Ed Muhl was appointed commissioner of in surance on June 1, 1983, after serving 18  months as deputy commissioner and acting in surance commissioner. His appointment came  at a critical  time  for  insurance  regulation  in  Maryland, which,  like  the rest of the Nation,  was facing a liability crisis.  It was my privilege to serve  in  the  legisla ture and observe  the skillful diplomacy of  Commissioner Muhl. Without his negotiating  skills, the outcome of health insurance, work men's compensation, tort reform and medical  malpractice issues might have been resolved  quite differently. Ed  is a quiet and effective  negotiator, committed to the fair resolution of  problems.  As  a  regulator, Commissioner Muhl  bal anced the interests of both the consumer and  industry. During his tenure, consumer informa tion was greatly improved, as were the proce dures for appealing a commission decision.  The State of Maryland has been  fortunate  to have such an outstanding public servant  and  I have been fortunate to have Ed as my  constituent, my consultant of my Health Advi sory Committee, and my friend. Although we  are sorry to lose Ed to North Carolina, he has  left us a very proud legacy.  TRIBUTE TO THE YOUNGSTOWN  MAENNERCHOR  HON. JAMES A. TRAFICANT, JR.  OF OHIO  IN THE HOUSE OF REPRESENTATIVES  Monday, January 25, 1988  ",1988
